sepal_length,sepal_width,petal_length,petal_width,class,,prediksi,,distance,,,
6.6,3,4.4,1.4,Iris-versicolor,,,,3.805259518,0.824621125,,
6.4,3.2,5.3,2.3,Iris-virginica,,,,4.781213235,0.836660027,,
5.7,2.9,4.2,1.3,Iris-versicolor,,,,3.217141588,0.842614977,,
6.3,2.9,5.6,1.8,Iris-virginica,,,,4.814561247,0.860232527,,
6.5,3,5.5,1.8,Iris-virginica,,,,4.797916214,0.860232527,,
6,2.2,5,1.5,Iris-virginica,,,,4.196427052,0.877496439,,
5.7,3,4.2,1.2,Iris-versicolor,,,,3.176476035,0.9,,
6.2,3.4,5.4,2.3,Iris-virginica,,,,4.796873982,0.9,,
6.7,3.1,4.4,1.4,Iris-versicolor,,,,3.854867053,0.905538514,,
6.8,2.8,4.8,1.4,Iris-versicolor,,,,4.242640687,0.916515139,,
5.6,2.7,4.2,1.3,Iris-versicolor,,,,3.209361307,0.92736185,,
6.2,2.2,4.5,1.5,Iris-versicolor,,,,3.854867053,0.92736185,,
5.7,2.8,4.1,1.3,Iris-versicolor,,,,3.141655614,0.932737905,,
6.7,3,5.2,2.3,Iris-virginica,,,,4.827007354,0.948683298,,
5.6,3,4.1,1.3,Iris-versicolor,,,,3.088689042,0.948683298,,
6.9,3.1,4.9,1.5,Iris-versicolor,,,,4.38634244,0.959166305,,
5.5,2.6,4.4,1.2,Iris-versicolor,,,,3.342154993,0.964365076,,
6.4,2.8,5.6,2.1,Iris-virginica,,,,4.964876635,0.964365076,,
6.1,2.8,4,1.3,Iris-versicolor,,,,3.221800739,0.969535971,,
6.1,2.6,5.6,1.4,Iris-virginica,,,,4.657252409,0.98488578,,
6.3,2.3,4.4,1.3,Iris-versicolor,,,,3.72961124,0.994987437,,
6.4,2.8,5.6,2.2,Iris-virginica,,,,5.003998401,1,,
6.9,3.1,5.1,2.3,Iris-virginica,,,,4.837354649,1.077032961,,
5.8,2.6,4,1.2,Iris-versicolor,,,,3.091924967,1.095445115,,
7,3.2,4.7,1.4,Iris-versicolor,,,,4.253234064,1.1,,
6.8,3,5.5,2.1,Iris-virginica,,,,5.029910536,1.104536102,,
6.3,3.4,5.6,2.4,Iris-virginica,,,,5.040833264,1.118033989,,
5.8,2.7,4.1,1,Iris-versicolor,,,,3.101612484,1.122497216,,
6.9,3.1,5.4,2.1,Iris-virginica,,,,4.990991885,1.126942767,,
5.8,2.7,3.9,1.2,Iris-versicolor,,,,2.989983278,1.140175425,,
5.5,2.5,4,1.3,Iris-versicolor,,,,3.04466747,1.178982612,,
6.5,3,5.8,2.2,Iris-virginica,,,,5.197114584,1.187434209,,
6.7,3.3,5.7,2.1,Iris-virginica,,,,5.149757276,1.216552506,,
6.7,3.1,5.6,2.4,Iris-virginica,,,,5.186520992,1.224744871,,
4.9,2.5,4.5,1.7,Iris-virginica,,,,3.527038418,1.2489996,,
5.5,2.3,4,1.3,Iris-versicolor,,,,3.096772513,1.276714533,,
5.2,2.7,3.9,1.4,Iris-versicolor,,,,2.880972058,1.303840481,,
5.6,2.5,3.9,1.1,Iris-versicolor,,,,2.924038303,1.307669683,,
6.7,2.5,5.8,1.8,Iris-virginica,,,,5.17880295,1.319090596,,
5.6,2.9,3.6,1.3,Iris-versicolor,,,,2.672077843,1.36381817,,
6.7,3.3,5.7,2.5,Iris-virginica,,,,5.310367219,1.37113092,,
6.9,3.2,5.7,2.3,Iris-virginica,,,,5.309425581,1.382027496,,
6,2.2,4,1,Iris-versicolor,,,,3.218695388,1.385640646,,
5.5,2.4,3.8,1.1,Iris-versicolor,,,,2.831960452,1.449137675,,
6.3,3.3,6,2.5,Iris-virginica,,,,5.417564028,1.452583905,,
6.8,3.2,5.9,2.3,Iris-virginica,,,,5.431390246,1.462873884,,
5.5,2.4,3.7,1,Iris-versicolor,,,,2.716615541,1.568438714,,
7.2,3,5.8,1.6,Iris-virginica,,,,5.302829433,1.574801575,,
7.1,3,5.9,2.1,Iris-virginica,,,,5.490901565,1.584297952,,
5.7,2.6,3.5,1,Iris-versicolor,,,,2.572936066,1.60623784,,
7.2,3.2,6,1.8,Iris-virginica,,,,5.520869497,1.708800749,,
7.4,2.8,6.1,1.9,Iris-virginica,,,,5.742821606,1.923538406,,
7.3,2.9,6.3,1.8,Iris-virginica,,,,5.826662853,1.987460691,,
7.2,3.6,6.1,2.5,Iris-virginica,,,,5.856620186,1.994993734,,
5,2,3.5,1,Iris-versicolor,,,,2.578759392,2.080865205,,
5,2.3,3.3,1,Iris-versicolor,,,,2.284731932,2.092844954,,
4.9,2.4,3.3,1,Iris-versicolor,,,,2.23159136,2.111871208,,
5.1,2.5,3,1.1,Iris-versicolor,,,,2.027313493,2.188606863,,
7.7,3,6.1,2.3,Iris-virginica,,,,6.012487006,2.197726098,,
7.6,3,6.6,2.1,Iris-virginica,,,,6.3,2.42693222,,
7.7,2.8,6.7,2,Iris-virginica,,,,6.41092817,2.565151068,,
7.9,3.8,6.4,2,Iris-virginica,,,,6.284106937,2.617250466,,
7.7,3.8,6.7,2.2,Iris-virginica,,,,6.485368147,2.701851217,,
7.7,2.6,6.9,2.3,Iris-virginica,,,,6.680568838,2.776688675,,
5.1,3.8,1.9,0.4,Iris-setosa,,,,0.948683298,3.438022688,,
5.1,3.3,1.7,0.5,Iris-setosa,,,,0.663324958,3.492849839,,
4.8,3.4,1.9,0.2,Iris-setosa,,,,0.574456265,3.54541958,,
5.7,3.8,1.7,0.3,Iris-setosa,,,,1.292284798,3.548239,,
5.4,3.4,1.7,0.2,Iris-setosa,,,,0.877496439,3.562302626,,
5.4,3.9,1.7,0.4,Iris-setosa,,,,1.122497216,3.56931366,,
5,3.5,1.6,0.6,Iris-setosa,,,,0.670820393,3.595830919,,
5,3.4,1.6,0.4,Iris-setosa,,,,0.529150262,3.655133376,,
5.4,3.4,1.5,0.4,Iris-setosa,,,,0.854400375,3.65650106,,
5,3,1.6,0.2,Iris-setosa,,,,0.489897949,3.714835124,,
5.1,3.7,1.5,0.4,Iris-setosa,,,,0.741619849,3.761648575,,
5.1,3.8,1.6,0.2,Iris-setosa,,,,0.806225775,3.774917218,,
4.8,3.1,1.6,0.2,Iris-setosa,,,,0.3,3.774917218,,
5.4,3.7,1.5,0.2,Iris-setosa,,,,0.948683298,3.78153408,,
5.2,3.5,1.5,0.2,Iris-setosa,,,,0.678232998,3.786819246,,
4.8,3.4,1.6,0.2,Iris-setosa,,,,0.346410162,3.794733192,,
5.1,3.4,1.5,0.2,Iris-setosa,,,,0.547722558,3.797367509,,
5.3,3.7,1.5,0.2,Iris-setosa,,,,0.866025404,3.798683983,,
4.7,3.2,1.6,0.2,Iris-setosa,,,,0.223606798,3.811823711,,
5.1,3.8,1.5,0.3,Iris-setosa,,,,0.793725393,3.819685851,,
5,3.4,1.5,0.2,Iris-setosa,,,,0.458257569,3.822302971,,
5.1,3.5,1.4,0.3,Iris-setosa,,,,0.591607978,3.856163897,,
5.7,4.4,1.5,0.4,Iris-setosa,,,,1.643167673,3.860051813,,
5.2,3.4,1.4,0.2,Iris-setosa,,,,0.632455532,3.862641583,,
4.9,3.1,1.5,0.1,Iris-setosa,,,,0.346410162,3.872983346,,
4.9,3.1,1.5,0.1,Iris-setosa,,,,0.346410162,3.872983346,,
4.9,3.1,1.5,0.1,Iris-setosa,,,,0.346410162,3.872983346,,
5.1,3.5,1.4,0.2,Iris-setosa,,,,0.583095189,3.896151948,,
5,3.3,1.4,0.2,Iris-setosa,,,,0.412310563,3.9,,
4.8,3,1.4,0.3,Iris-setosa,,,,0.3,3.905124838,,
5.5,3.5,1.3,0.2,Iris-setosa,,,,0.953939201,3.912799509,,
4.9,3,1.4,0.2,Iris-setosa,,,,0.360555128,3.91535439,,
5.4,3.9,1.3,0.4,Iris-setosa,,,,1.086278049,3.92173431,,
4.6,3.1,1.5,0.2,Iris-setosa,,,,0.141421356,3.926830783,,
5,3.6,1.4,0.2,Iris-setosa,,,,0.565685425,3.934463115,,
5.2,4.1,1.5,0.1,Iris-setosa,,,,1.090871211,3.95347948,,
5,3.5,1.3,0.3,Iris-setosa,,,,0.519615242,3.968626967,,
5.5,4.2,1.4,0.2,Iris-setosa,,,,1.345362405,3.97617907,,
4.8,3,1.4,0.1,Iris-setosa,,,,0.3,3.986226286,,
4.6,3.4,1.4,0.3,Iris-setosa,,,,0.223606798,3.991240409,,
4.7,3.2,1.3,0.2,Iris-setosa,,,,0.141421356,4.066939882,,
5,3.2,1.2,0.2,Iris-setosa,,,,0.447213595,4.06939799,,
5.8,4,1.2,0.2,Iris-setosa,,,,1.456021978,4.06939799,,
4.4,2.9,1.4,0.2,Iris-setosa,,,,0.360555128,4.085339643,,
4.5,2.3,1.3,0.3,Iris-setosa,,,,0.916515139,4.152107898,,
4.4,3,1.3,0.2,Iris-setosa,,,,0.3,4.167733197,,
4.4,3.2,1.3,0.2,Iris-setosa,,,,0.223606798,4.172529209,,
4.6,3.6,1,0.2,Iris-setosa,,,,0.565685425,4.395452195,,
4.3,3,1.1,0.1,Iris-setosa,,,,0.479583152,4.412482295,,
,,,,,,,,,8.442748368,,
,,,,,,,,5.779273311,8.442748368,,
,,,,,,,,,,,
,,,,,,,,,,,
4.6,3.2,1.4,0.2,Iris-setosa,,,,,,,
,,,,,,,,,,,
6,3,4.8,1.8,Iris-virginica,,,,4.01497198,,,
