sepal_length,sepal_width,petal_length,petal_width,Group,,,sepal_length,sepal_width,petal_length,petal_width,,C1,C2,Group,,sepal_length,sepal_width,petal_length,petal_width,Group,,,sepal_length,sepal_width,petal_length,petal_width
5.4,3.4,1.5,0.4,1,,,,,,,,0.42,3.84,1,,5.4,3.4,1.5,0.4,1,,,,,,
5.2,4.1,1.5,0.1,1,,,,,,,,0.79,4.15,1,,5.2,4.1,1.5,0.1,1,,,,,,
5.5,4.2,1.4,0.2,1,,,,,,,,0.99,4.16,1,,5.5,4.2,1.4,0.2,1,,,,,,
4.9,3.1,1.5,0.1,1,,,,,,,,0.34,4.06,1,,4.9,3.1,1.5,0.1,1,,,,,,
5,3.2,1.2,0.2,1,,,,,,,,0.41,4.26,1,,5,3.2,1.2,0.2,1,,,,,,
5.5,3.5,1.3,0.2,1,,,,,,,,0.58,4.08,1,,5.5,3.5,1.3,0.2,1,,,,,,
4.9,3.1,1.5,0.1,1,,,,,,,,0.34,4.06,1,,4.9,3.1,1.5,0.1,1,,,,,,
4.4,3,1.3,0.2,1,,,,,,,,0.76,4.39,1,,4.4,3,1.3,0.2,1,,,,,,
5.1,3.4,1.5,0.2,1,,,,,,,,0.15,3.99,1,,5.1,3.4,1.5,0.2,1,,,,,,
5,3.5,1.3,0.3,1,,,,,,,,0.30,4.17,1,,5,3.5,1.3,0.3,1,,,,,,
4.5,2.3,1.3,0.3,1,,,,,,,,1.20,4.35,1,,4.5,2.3,1.3,0.3,1,,,,,,
4.4,3.2,1.3,0.2,1,,,,,,,,0.68,4.40,1,,4.4,3.2,1.3,0.2,1,,,,,,
5,3.5,1.6,0.6,1,,,,,,,,0.34,3.81,1,,5,3.5,1.6,0.6,1,,,,,,
5.1,3.8,1.9,0.4,1,,,,,,,,0.57,3.65,1,,5.1,3.8,1.9,0.4,1,,,,,,
4.8,3,1.4,0.3,1,,,,,,,,0.45,4.11,1,,4.8,3,1.4,0.3,1,,,,,,
5.1,3.8,1.6,0.2,1,,,,,,,,0.46,3.97,1,,5.1,3.8,1.6,0.2,1,,,,,,
4.6,3.2,1.4,0.2,1,,,,,,,,0.47,4.23,1,,4.6,3.2,1.4,0.2,1,,,,,,
5.3,3.7,1.5,0.2,1,,,,,,,,0.46,3.98,1,,5.3,3.7,1.5,0.2,1,,,,,,
5,3.3,1.4,0.2,1,,,,,,,,0.19,4.09,1,,5,3.3,1.4,0.2,1,,,,,,
4.9,2.4,3.3,1,1,,,,,,,,2.11,2.33,1,,4.9,2.4,3.3,1,1,,,,,,
5,2.3,3.3,1,1,,,,,,,,2.16,2.30,1,,5,2.3,3.3,1,1,,,,,,
5.1,2.5,3,1.1,1,,,,,,,,1.86,2.40,1,,5.1,2.5,3,1.1,1,,,,,,
5,2,3.5,1,2,,,,,,,,2.47,2.26,2,,5,2,3.5,1,2,,,,,,
5.7,2.6,3.5,1,2,,,,,,,,2.31,1.75,2,,5.7,2.6,3.5,1,2,,,,,,
5.2,2.7,3.9,1.4,2,,,,,,,,2.68,1.57,2,,5.2,2.7,3.9,1.4,2,,,,,,
5.6,2.9,3.6,1.3,2,,,,,,,,2.40,1.58,2,,5.6,2.9,3.6,1.3,2,,,,,,
5.6,3,4.5,1.5,2,,,,,,,,3.25,0.87,2,,5.6,3,4.5,1.5,2,,,,,,
5.8,2.7,4.1,1,2,,,,,,,,2.83,1.23,2,,5.8,2.7,4.1,1,2,,,,,,
5.5,2.4,3.7,1,2,,,,,,,,2.50,1.72,2,,5.5,2.4,3.7,1,2,,,,,,
5.4,3,4.5,1.5,2,,,,,,,,3.22,1.04,2,,5.4,3,4.5,1.5,2,,,,,,
5.6,3,4.1,1.3,2,,,,,,,,2.82,1.18,2,,5.6,3,4.1,1.3,2,,,,,,
5.5,2.6,4.4,1.2,2,,,,,,,,3.12,1.13,2,,5.5,2.6,4.4,1.2,2,,,,,,
5.7,3,4.2,1.2,2,,,,,,,,2.90,1.09,2,,5.7,3,4.2,1.2,2,,,,,,
5.7,2.9,4.2,1.3,2,,,,,,,,2.95,1.05,2,,5.7,2.9,4.2,1.3,2,,,,,,
4.9,2.5,4.5,1.7,2,,,,,,,,3.37,1.52,2,,4.9,2.5,4.5,1.7,2,,,,,,
7,3.2,4.7,1.4,2,,,,,,,,3.88,0.86,2,,7,3.2,4.7,1.4,2,,,,,,
6.4,3.2,4.5,1.5,2,,,,,,,,3.47,0.60,2,,6.4,3.2,4.5,1.5,2,,,,,,
6.9,3.1,4.9,1.5,2,,,,,,,,4.03,0.67,2,,6.9,3.1,4.9,1.5,2,,,,,,
5.5,2.3,4,1.3,2,,,,,,,,2.89,1.44,2,,5.5,2.3,4,1.3,2,,,,,,
6.5,2.8,4.6,1.5,2,,,,,,,,3.64,0.46,2,,6.5,2.8,4.6,1.5,2,,,,,,
5.7,2.8,4.5,1.3,2,,,,,,,,3.23,0.86,2,,5.7,2.8,4.5,1.3,2,,,,,,
6.3,3.3,4.7,1.6,2,,,,,,,,3.64,0.50,2,,6.3,3.3,4.7,1.6,2,,,,,,
6.6,2.9,4.6,1.3,2,,,,,,,,3.61,0.61,2,,6.6,2.9,4.6,1.3,2,,,,,,
5.9,3,4.2,1.5,2,,,,,,,,3.06,0.89,2,,5.9,3,4.2,1.5,2,,,,,,
6,2.2,4,1,2,,,,,,,,2.96,1.40,2,,6,2.2,4,1,2,,,,,,
6.1,2.9,4.7,1.4,2,,,,,,,,3.53,0.44,2,,6.1,2.9,4.7,1.4,2,,,,,,
6.7,3.1,4.4,1.4,2,,,,,,,,3.50,0.78,2,,6.7,3.1,4.4,1.4,2,,,,,,
6.2,2.2,4.5,1.5,2,,,,,,,,3.59,0.85,2,,6.2,2.2,4.5,1.5,2,,,,,,
5.6,2.5,3.9,1.1,2,,,,,,,,2.69,1.45,2,,5.6,2.5,3.9,1.1,2,,,,,,
5.9,3.2,4.8,1.8,2,,,,,,,,3.69,0.54,2,,5.9,3.2,4.8,1.8,2,,,,,,
6.1,2.8,4,1.3,2,,,,,,,,2.91,1.06,2,,6.1,2.8,4,1.3,2,,,,,,
6.3,2.5,4.9,1.5,2,,,,,,,,3.88,0.44,2,,6.3,2.5,4.9,1.5,2,,,,,,
6.1,2.8,4.7,1.2,2,,,,,,,,3.49,0.60,2,,6.1,2.8,4.7,1.2,2,,,,,,
6.4,2.9,4.3,1.3,2,,,,,,,,3.27,0.78,2,,6.4,2.9,4.3,1.3,2,,,,,,
6.6,3,4.4,1.4,2,,,,,,,,3.46,0.71,2,,6.6,3,4.4,1.4,2,,,,,,
6.8,2.8,4.8,1.4,2,,,,,,,,3.91,0.61,2,,6.8,2.8,4.8,1.4,2,,,,,,
6.7,3,5,1.7,2,,,,,,,,4.10,0.42,2,,6.7,3,5,1.7,2,,,,,,
6,2.9,4.5,1.5,2,,,,,,,,3.36,0.58,2,,6,2.9,4.5,1.5,2,,,,,,
5.5,2.4,3.8,1.1,2,,,,,,,,2.61,1.61,2,,5.5,2.4,3.8,1.1,2,,,,,,
5.8,2.7,3.9,1.2,2,,,,,,,,2.71,1.29,2,,5.8,2.7,3.9,1.2,2,,,,,,
6,2.7,5.1,1.6,2,,,,,,,,3.96,0.39,2,,6,2.7,5.1,1.6,2,,,,,,
6,3.4,4.5,1.6,2,,,,,,,,3.37,0.76,2,,6,3.4,4.5,1.6,2,,,,,,
6.7,3.1,4.7,1.5,2,,,,,,,,3.78,0.56,2,,6.7,3.1,4.7,1.5,2,,,,,,
6.3,2.3,4.4,1.3,2,,,,,,,,3.45,0.90,2,,6.3,2.3,4.4,1.3,2,,,,,,
5.5,2.5,4,1.3,2,,,,,,,,2.82,1.37,2,,5.5,2.5,4,1.3,2,,,,,,
6.1,3,4.6,1.4,2,,,,,,,,3.43,0.52,2,,6.1,3,4.6,1.4,2,,,,,,
5.8,2.6,4,1.2,2,,,,,,,,2.83,1.22,2,,5.8,2.6,4,1.2,2,,,,,,
5.6,2.7,4.2,1.3,2,,,,,,,,2.96,1.12,2,,5.6,2.7,4.2,1.3,2,,,,,,
6.2,2.9,4.3,1.3,2,,,,,,,,3.19,0.78,2,,6.2,2.9,4.3,1.3,2,,,,,,
5.7,2.8,4.1,1.3,2,,,,,,,,2.87,1.12,2,,5.7,2.8,4.1,1.3,2,,,,,,
6.3,3.3,6,2.5,2,,,,,,,,5.12,1.38,2,,6.3,3.3,6,2.5,2,,,,,,
5.8,2.7,5.1,1.9,2,,,,,,,,4.02,0.59,2,,5.8,2.7,5.1,1.9,2,,,,,,
7.1,3,5.9,2.1,2,,,,,,,,5.16,1.30,2,,7.1,3,5.9,2.1,2,,,,,,
6.3,2.9,5.6,1.8,2,,,,,,,,4.52,0.65,2,,6.3,2.9,5.6,1.8,2,,,,,,
6.5,3,5.8,2.2,2,,,,,,,,4.90,1.01,2,,6.5,3,5.8,2.2,2,,,,,,
7.6,3,6.6,2.1,2,,,,,,,,5.96,2.13,2,,7.6,3,6.6,2.1,2,,,,,,
7.3,2.9,6.3,1.8,2,,,,,,,,5.50,1.68,2,,7.3,2.9,6.3,1.8,2,,,,,,
6.7,2.5,5.8,1.8,2,,,,,,,,4.88,1.01,2,,6.7,2.5,5.8,1.8,2,,,,,,
7.2,3.6,6.1,2.5,2,,,,,,,,5.51,1.81,2,,7.2,3.6,6.1,2.5,2,,,,,,
6.5,3.2,5.1,2,2,,,,,,,,4.21,0.50,2,,6.5,3.2,5.1,2,2,,,,,,
6.4,2.7,5.3,1.9,2,,,,,,,,4.35,0.45,2,,6.4,2.7,5.3,1.9,2,,,,,,
6.8,3,5.5,2.1,2,,,,,,,,4.70,0.85,2,,6.8,3,5.5,2.1,2,,,,,,
5.7,2.5,5,2,2,,,,,,,,4.00,0.78,2,,5.7,2.5,5,2,2,,,,,,
5.8,2.8,5.1,2.4,2,,,,,,,,4.23,0.88,2,,5.8,2.8,5.1,2.4,2,,,,,,
6.4,3.2,5.3,2.3,2,,,,,,,,4.47,0.77,2,,6.4,3.2,5.3,2.3,2,,,,,,
6.5,3,5.5,1.8,2,,,,,,,,4.49,0.60,2,,6.5,3,5.5,1.8,2,,,,,,
7.7,3.8,6.7,2.2,2,,,,,,,,6.12,2.47,2,,7.7,3.8,6.7,2.2,2,,,,,,
7.7,2.6,6.9,2.3,2,,,,,,,,6.35,2.48,2,,7.7,2.6,6.9,2.3,2,,,,,,
6,2.2,5,1.5,2,,,,,,,,3.95,0.78,2,,6,2.2,5,1.5,2,,,,,,
6.9,3.2,5.7,2.3,2,,,,,,,,4.98,1.17,2,,6.9,3.2,5.7,2.3,2,,,,,,
5.6,2.8,4.9,2,2,,,,,,,,3.84,0.77,2,,5.6,2.8,4.9,2,2,,,,,,
7.7,2.8,6.7,2,2,,,,,,,,6.07,2.26,2,,7.7,2.8,6.7,2,2,,,,,,
6.3,2.7,4.9,1.8,2,,,,,,,,3.94,0.22,2,,6.3,2.7,4.9,1.8,2,,,,,,
6.7,3.3,5.7,2.1,2,,,,,,,,4.82,1.02,2,,6.7,3.3,5.7,2.1,2,,,,,,
7.2,3.2,6,1.8,2,,,,,,,,5.18,1.41,2,,7.2,3.2,6,1.8,2,,,,,,
6.2,2.8,4.8,1.8,2,,,,,,,,3.81,0.23,2,,6.2,2.8,4.8,1.8,2,,,,,,
6.1,3,4.9,1.8,2,,,,,,,,3.84,0.26,2,,6.1,3,4.9,1.8,2,,,,,,
6.4,2.8,5.6,2.1,2,,,,,,,,4.67,0.77,2,,6.4,2.8,5.6,2.1,2,,,,,,
7.2,3,5.8,1.6,2,,,,,,,,4.96,1.24,2,,7.2,3,5.8,1.6,2,,,,,,
7.4,2.8,6.1,1.9,2,,,,,,,,5.41,1.60,2,,7.4,2.8,6.1,1.9,2,,,,,,
7.9,3.8,6.4,2,2,,,,,,,,5.91,2.36,2,,7.9,3.8,6.4,2,2,,,,,,
6.4,2.8,5.6,2.2,2,,,,,,,,4.71,0.83,2,,6.4,2.8,5.6,2.2,2,,,,,,
6.3,2.8,5.1,1.5,2,,,,,,,,4.00,0.26,2,,6.3,2.8,5.1,1.5,2,,,,,,
6.1,2.6,5.6,1.4,2,,,,,,,,4.39,0.79,2,,6.1,2.6,5.6,1.4,2,,,,,,
7.7,3,6.1,2.3,2,,,,,,,,5.66,1.91,2,,7.7,3,6.1,2.3,2,,,,,,
6.3,3.4,5.6,2.4,2,,,,,,,,4.74,1.08,2,,6.3,3.4,5.6,2.4,2,,,,,,
6.4,3.1,5.5,1.8,2,,,,,,,,4.45,0.60,2,,6.4,3.1,5.5,1.8,2,,,,,,
6,3,4.8,1.8,2,,,,,,,,3.73,0.37,2,,6,3,4.8,1.8,2,,,,,,
6.9,3.1,5.4,2.1,2,,,,,,,,4.65,0.87,2,,6.9,3.1,5.4,2.1,2,,,,,,
6.7,3.1,5.6,2.4,2,,,,,,,,4.87,1.05,2,,6.7,3.1,5.6,2.4,2,,,,,,
6.9,3.1,5.1,2.3,2,,,,,,,,4.50,0.89,2,,6.9,3.1,5.1,2.3,2,,,,,,
5.8,2.7,5.1,1.9,2,,,,,,,,4.02,0.59,2,,5.8,2.7,5.1,1.9,2,,,,,,
6.8,3.2,5.9,2.3,2,,,,,,,,5.11,1.26,2,,6.8,3.2,5.9,2.3,2,,,,,,
6.7,3.3,5.7,2.5,2,,,,,,,,4.99,1.24,2,,6.7,3.3,5.7,2.5,2,,,,,,
6.7,3,5.2,2.3,2,,,,,,,,4.50,0.77,2,,6.7,3,5.2,2.3,2,,,,,,
6.3,2.5,5,1.9,2,,,,,,,,4.10,0.44,2,,6.3,2.5,5,1.9,2,,,,,,
6.5,3,5.2,2,2,,,,,,,,4.30,0.45,2,,6.5,3,5.2,2,2,,,,,,
6.2,3.4,5.4,2.3,2,,,,,,,,4.49,0.91,2,,6.2,3.4,5.4,2.3,2,,,,,,
5.9,3,5.1,1.8,2,,,,,,,,3.97,0.45,2,,5.9,3,5.1,1.8,2,,,,,,
